country_code,Country Name,dac_category_name,dac_sector_name,fiscal_year,constant_amount,latitude,longitude,2015
AFG,Afghanistan,Governance,Government and Civil Society,2015,386648190,33.93911,67.709953,34413603
AFG,Afghanistan,Infrastructure,Energy,2015,353445714,33.93911,67.709953,34413603
AFG,Afghanistan,Governance,Government and Civil Society,2015,292396000,33.93911,67.709953,34413603
AFG,Afghanistan,Health and Population,"Maternal and Child Health, Family Planning",2015,77276154,33.93911,67.709953,34413603
AFG,Afghanistan,Education,"Education, Level Unspecified",2015,57836571,33.93911,67.709953,34413603
AFG,Afghanistan,Infrastructure,Energy,2015,48926576,33.93911,67.709953,34413603
AFG,Afghanistan,Administrative Costs,Operating Expenses,2015,41467041,33.93911,67.709953,34413603
AFG,Afghanistan,Governance,Government and Civil Society,2015,39975001,33.93911,67.709953,34413603
AFG,Afghanistan,Health and Population,"Maternal and Child Health, Family Planning",2015,39789488,33.93911,67.709953,34413603
AFG,Afghanistan,Agriculture,Agriculture,2015,38241205,33.93911,67.709953,34413603
AFG,Afghanistan,Governance,Government and Civil Society,2015,35344571,33.93911,67.709953,34413603
AFG,Afghanistan,Governance,"Conflict, Peace, and Security",2015,33211308,33.93911,67.709953,34413603
AFG,Afghanistan,Economic Growth,Business and Other Services,2015,32675623,33.93911,67.709953,34413603
AFG,Afghanistan,Economic Growth,Business and Other Services,2015,30203605,33.93911,67.709953,34413603
AFG,Afghanistan,Agriculture,Agriculture,2015,28217397,33.93911,67.709953,34413603
AFG,Afghanistan,Health and Population,"Maternal and Child Health, Family Planning",2015,26869626,33.93911,67.709953,34413603
AFG,Afghanistan,Infrastructure,Energy,2015,26776190,33.93911,67.709953,34413603
AFG,Afghanistan,Infrastructure,Energy,2015,26280242,33.93911,67.709953,34413603
AFG,Afghanistan,Administrative Costs,Operating Expenses,2015,25863248,33.93911,67.709953,34413603
AFG,Afghanistan,Governance,"Conflict, Peace, and Security",2015,25463456,33.93911,67.709953,34413603
AFG,Afghanistan,Governance,"Conflict, Peace, and Security",2015,23754429,33.93911,67.709953,34413603
AFG,Afghanistan,Infrastructure,Transport and Storage,2015,23330052,33.93911,67.709953,34413603
AFG,Afghanistan,Agriculture,Agriculture,2015,21857578,33.93911,67.709953,34413603
AFG,Afghanistan,Agriculture,Agriculture,2015,21857578,33.93911,67.709953,34413603
AFG,Afghanistan,Governance,"Conflict, Peace, and Security",2015,20703736,33.93911,67.709953,34413603
AFG,Afghanistan,Education,Post-Secondary Education,2015,20600430,33.93911,67.709953,34413603
AFG,Afghanistan,Administrative Costs,Operating Expenses,2015,20596712,33.93911,67.709953,34413603
AFG,Afghanistan,Economic Growth,Industry,2015,20178962,33.93911,67.709953,34413603
AFG,Afghanistan,Governance,Government and Civil Society,2015,19278857,33.93911,67.709953,34413603
AFG,Afghanistan,Governance,"Conflict, Peace, and Security",2015,17477579,33.93911,67.709953,34413603
AFG,Afghanistan,Governance,"Conflict, Peace, and Security",2015,16929523,33.93911,67.709953,34413603
AFG,Afghanistan,Health and Population,"Maternal and Child Health, Family Planning",2015,16444507,33.93911,67.709953,34413603
AFG,Afghanistan,Economic Growth,Banking and Financial Services,2015,16373191,33.93911,67.709953,34413603
AFG,Afghanistan,Governance,Government and Civil Society,2015,16123384,33.93911,67.709953,34413603
AFG,Afghanistan,Agriculture,Agriculture,2015,16065714,33.93911,67.709953,34413603
AFG,Afghanistan,Governance,Government and Civil Society,2015,16065714,33.93911,67.709953,34413603
AFG,Afghanistan,Agriculture,Agriculture,2015,16065714,33.93911,67.709953,34413603
AFG,Afghanistan,Administrative Costs,Administration and Oversight,2015,15970660,33.93911,67.709953,34413603
AFG,Afghanistan,Administrative Costs,Administration and Oversight,2015,15970658,33.93911,67.709953,34413603
AFG,Afghanistan,Health and Population,"Maternal and Child Health, Family Planning",2015,15747123,33.93911,67.709953,34413603
AFG,Afghanistan,Governance,Government and Civil Society,2015,15156251,33.93911,67.709953,34413603
AFG,Afghanistan,Education,Post-Secondary Education,2015,14994667,33.93911,67.709953,34413603
AFG,Afghanistan,Governance,"Conflict, Peace, and Security",2015,14630054,33.93911,67.709953,34413603
AFG,Afghanistan,Health and Population,"Maternal and Child Health, Family Planning",2015,14436876,33.93911,67.709953,34413603
AFG,Afghanistan,Economic Growth,Business and Other Services,2015,14244933,33.93911,67.709953,34413603
AFG,Afghanistan,Governance,"Conflict, Peace, and Security",2015,14214734,33.93911,67.709953,34413603
AFG,Afghanistan,Health and Population,"Maternal and Child Health, Family Planning",2015,13709410,33.93911,67.709953,34413603
AFG,Afghanistan,Governance,Government and Civil Society,2015,12852571,33.93911,67.709953,34413603
AFG,Afghanistan,Education,Post-Secondary Education,2015,12579154,33.93911,67.709953,34413603
AFG,Afghanistan,Economic Growth,Industry,2015,12496232,33.93911,67.709953,34413603
AFG,Afghanistan,Governance,"Conflict, Peace, and Security",2015,12406266,33.93911,67.709953,34413603
AFG,Afghanistan,Governance,"Conflict, Peace, and Security",2015,12406266,33.93911,67.709953,34413603
AFG,Afghanistan,Agriculture,Agriculture,2015,12317048,33.93911,67.709953,34413603
AFG,Afghanistan,Health and Population,"Maternal and Child Health, Family Planning",2015,12083669,33.93911,67.709953,34413603
AFG,Afghanistan,Governance,"Conflict, Peace, and Security",2015,11972056,33.93911,67.709953,34413603
AFG,Afghanistan,Infrastructure,Energy,2015,11966157,33.93911,67.709953,34413603
AFG,Afghanistan,Governance,"Conflict, Peace, and Security",2015,11890908,33.93911,67.709953,34413603
AFG,Afghanistan,Health and Population,Basic Health,2015,11781524,33.93911,67.709953,34413603
AFG,Afghanistan,Agriculture,Agriculture,2015,11529198,33.93911,67.709953,34413603
AFG,Afghanistan,Administrative Costs,Program Design and Learning,2015,11500502,33.93911,67.709953,34413603
AFG,Afghanistan,Infrastructure,Energy,2015,11246000,33.93911,67.709953,34413603
AFG,Afghanistan,Agriculture,Agriculture,2015,10942137,33.93911,67.709953,34413603
AFG,Afghanistan,Economic Growth,Trade Policy and Regulations,2015,10916118,33.93911,67.709953,34413603
AFG,Afghanistan,Agriculture,Agriculture,2015,10816370,33.93911,67.709953,34413603
AFG,Afghanistan,Governance,"Conflict, Peace, and Security",2015,10812109,33.93911,67.709953,34413603
AFG,Afghanistan,Governance,"Conflict, Peace, and Security",2015,10710476,33.93911,67.709953,34413603
AFG,Afghanistan,Administrative Costs,Program Design and Learning,2015,10485556,33.93911,67.709953,34413603
AFG,Afghanistan,Infrastructure,Transport and Storage,2015,10374229,33.93911,67.709953,34413603
AFG,Afghanistan,Governance,Other Social Infrastructure and Services,2015,10329183,33.93911,67.709953,34413603
AFG,Afghanistan,Governance,Other Social Infrastructure and Services,2015,10329183,33.93911,67.709953,34413603
AFG,Afghanistan,Administrative Costs,Program Design and Learning,2015,9667661,33.93911,67.709953,34413603
AFG,Afghanistan,Administrative Costs,Program Design and Learning,2015,9667661,33.93911,67.709953,34413603
AFG,Afghanistan,Health and Population,"Maternal and Child Health, Family Planning",2015,9568110,33.93911,67.709953,34413603
AFG,Afghanistan,Governance,"Conflict, Peace, and Security",2015,9313620,33.93911,67.709953,34413603
AFG,Afghanistan,Governance,Government and Civil Society,2015,9103905,33.93911,67.709953,34413603
AFG,Afghanistan,Economic Growth,Trade Policy and Regulations,2015,8996800,33.93911,67.709953,34413603
AFG,Afghanistan,Infrastructure,Energy,2015,8927842,33.93911,67.709953,34413603
AFG,Afghanistan,Governance,"Conflict, Peace, and Security",2015,8926142,33.93911,67.709953,34413603
AFG,Afghanistan,Education,Post-Secondary Education,2015,8706881,33.93911,67.709953,34413603
AFG,Afghanistan,Governance,"Conflict, Peace, and Security",2015,8686112,33.93911,67.709953,34413603
AFG,Afghanistan,Agriculture,Agriculture,2015,8568381,33.93911,67.709953,34413603
AFG,Afghanistan,Agriculture,Agriculture,2015,8568381,33.93911,67.709953,34413603
AFG,Afghanistan,Health and Population,Water Supply and Sanitation,2015,8568381,33.93911,67.709953,34413603
AFG,Afghanistan,Administrative Costs,Program Design and Learning,2015,8568381,33.93911,67.709953,34413603
