country_code,Country Name,dac_category_name,dac_sector_name,fiscal_year,constant_amount,latitude,longitude,2019
AFG,Afghanistan,Governance,Government and Civil Society,2019,244314589,33.93911,67.709953,38041754
AFG,Afghanistan,Governance,Government and Civil Society,2019,150000000,33.93911,67.709953,38041754
AFG,Afghanistan,Infrastructure,Energy,2019,61857148,33.93911,67.709953,38041754
AFG,Afghanistan,Administrative Costs,Operating Expenses,2019,48160560,33.93911,67.709953,38041754
AFG,Afghanistan,Governance,"Conflict, Peace, and Security",2019,32797036,33.93911,67.709953,38041754
AFG,Afghanistan,Governance,Government and Civil Society,2019,30933565,33.93911,67.709953,38041754
AFG,Afghanistan,Health and Population,"Maternal and Child Health, Family Planning",2019,21580000,33.93911,67.709953,38041754
AFG,Afghanistan,Education,"Education, Level Unspecified",2019,21088375,33.93911,67.709953,38041754
AFG,Afghanistan,Governance,Government and Civil Society,2019,18000000,33.93911,67.709953,38041754
AFG,Afghanistan,Governance,Government and Civil Society,2019,18000000,33.93911,67.709953,38041754
AFG,Afghanistan,Administrative Costs,Operating Expenses,2019,17423481,33.93911,67.709953,38041754
AFG,Afghanistan,Health and Population,"Maternal and Child Health, Family Planning",2019,16850000,33.93911,67.709953,38041754
AFG,Afghanistan,Governance,Government and Civil Society,2019,16785974,33.93911,67.709953,38041754
AFG,Afghanistan,Governance,Government and Civil Society,2019,16785974,33.93911,67.709953,38041754
AFG,Afghanistan,Education,Basic Education,2019,16200000,33.93911,67.709953,38041754
AFG,Afghanistan,Infrastructure,Energy,2019,16053437,33.93911,67.709953,38041754
AFG,Afghanistan,Education,Basic Education,2019,15627732,33.93911,67.709953,38041754
AFG,Afghanistan,Health and Population,Water Supply and Sanitation,2019,15355039,33.93911,67.709953,38041754
AFG,Afghanistan,Education,Post-Secondary Education,2019,14245383,33.93911,67.709953,38041754
AFG,Afghanistan,Health and Population,Basic Health,2019,13948814,33.93911,67.709953,38041754
AFG,Afghanistan,Governance,Government and Civil Society,2019,13085160,33.93911,67.709953,38041754
AFG,Afghanistan,Agriculture,Agriculture,2019,12408247,33.93911,67.709953,38041754
AFG,Afghanistan,Humanitarian,Emergency Response,2019,12318822,33.93911,67.709953,38041754
AFG,Afghanistan,Health and Population,Basic Health,2019,11395356,33.93911,67.709953,38041754
AFG,Afghanistan,Health and Population,Water Supply and Sanitation,2019,11265219,33.93911,67.709953,38041754
AFG,Afghanistan,Agriculture,Agriculture,2019,10386657,33.93911,67.709953,38041754
AFG,Afghanistan,Governance,Government and Civil Society,2019,10371024,33.93911,67.709953,38041754
AFG,Afghanistan,Education,"Education, Level Unspecified",2019,10000000,33.93911,67.709953,38041754
AFG,Afghanistan,Education,"Education, Level Unspecified",2019,10000000,33.93911,67.709953,38041754
AFG,Afghanistan,Infrastructure,Energy,2019,9941216,33.93911,67.709953,38041754
AFG,Afghanistan,Governance,Government and Civil Society,2019,8922533,33.93911,67.709953,38041754
AFG,Afghanistan,Health and Population,Basic Health,2019,8420000,33.93911,67.709953,38041754
