country_code,Country Name,dac_category_name,dac_sector_name,fiscal_year,constant_amount,latitude,longitude,2017
AFG,Afghanistan,Governance,Government and Civil Society,2017,173097230,33.93911,67.709953,36296400
AFG,Afghanistan,Governance,Government and Civil Society,2017,173097230,33.93911,67.709953,36296400
AFG,Afghanistan,Health and Population,"Maternal and Child Health, Family Planning",2017,98711398,33.93911,67.709953,36296400
AFG,Afghanistan,Health and Population,"Maternal and Child Health, Family Planning",2017,98711398,33.93911,67.709953,36296400
AFG,Afghanistan,Administrative Costs,Operating Expenses,2017,51860886,33.93911,67.709953,36296400
AFG,Afghanistan,Humanitarian,Emergency Response,2017,45897783,33.93911,67.709953,36296400
AFG,Afghanistan,Infrastructure,Energy,2017,45615306,33.93911,67.709953,36296400
AFG,Afghanistan,Infrastructure,Energy,2017,42424347,33.93911,67.709953,36296400
AFG,Afghanistan,Infrastructure,Energy,2017,41725257,33.93911,67.709953,36296400
AFG,Afghanistan,Administrative Costs,Operating Expenses,2017,41174566,33.93911,67.709953,36296400
AFG,Afghanistan,Education,Post-Secondary Education,2017,30296000,33.93911,67.709953,36296400
AFG,Afghanistan,Administrative Costs,Administration and Oversight,2017,26171465,33.93911,67.709953,36296400
AFG,Afghanistan,Administrative Costs,Administration and Oversight,2017,26171465,33.93911,67.709953,36296400
AFG,Afghanistan,Agriculture,Agriculture,2017,22287925,33.93911,67.709953,36296400
AFG,Afghanistan,Education,Post-Secondary Education,2017,22044768,33.93911,67.709953,36296400
AFG,Afghanistan,Humanitarian,Emergency Response,2017,20862629,33.93911,67.709953,36296400
AFG,Afghanistan,Education,Post-Secondary Education,2017,20426699,33.93911,67.709953,36296400
AFG,Afghanistan,Governance,Government and Civil Society,2017,16950158,33.93911,67.709953,36296400
AFG,Afghanistan,Agriculture,Agriculture,2017,16642888,33.93911,67.709953,36296400
AFG,Afghanistan,Infrastructure,Energy,2017,16458913,33.93911,67.709953,36296400
AFG,Afghanistan,Infrastructure,Energy,2017,16395598,33.93911,67.709953,36296400
AFG,Afghanistan,Education,Post-Secondary Education,2017,15699518,33.93911,67.709953,36296400
AFG,Afghanistan,Economic Growth,Trade Policy and Regulations,2017,15677101,33.93911,67.709953,36296400
AFG,Afghanistan,Economic Growth,Business and Other Services,2017,13647066,33.93911,67.709953,36296400
AFG,Afghanistan,Agriculture,Agriculture,2017,13628960,33.93911,67.709953,36296400
AFG,Afghanistan,Economic Growth,Trade Policy and Regulations,2017,12517577,33.93911,67.709953,36296400
AFG,Afghanistan,Humanitarian,Emergency Response,2017,12466499,33.93911,67.709953,36296400
AFG,Afghanistan,Governance,Government and Civil Society,2017,12384089,33.93911,67.709953,36296400
AFG,Afghanistan,Governance,Government and Civil Society,2017,12006153,33.93911,67.709953,36296400
AFG,Afghanistan,Agriculture,Agriculture,2017,11473277,33.93911,67.709953,36296400
AFG,Afghanistan,Economic Growth,Business and Other Services,2017,11239660,33.93911,67.709953,36296400
AFG,Afghanistan,Governance,Government and Civil Society,2017,11137118,33.93911,67.709953,36296400
AFG,Afghanistan,Agriculture,Agriculture,2017,11036868,33.93911,67.709953,36296400
AFG,Afghanistan,Health and Population,"Maternal and Child Health, Family Planning",2017,10941502,33.93911,67.709953,36296400
AFG,Afghanistan,Governance,Government and Civil Society,2017,10911349,33.93911,67.709953,36296400
AFG,Afghanistan,Humanitarian,Emergency Response,2017,10598869,33.93911,67.709953,36296400
AFG,Afghanistan,Agriculture,Agriculture,2017,10532730,33.93911,67.709953,36296400
AFG,Afghanistan,Health and Population,Water Supply and Sanitation,2017,10431314,33.93911,67.709953,36296400
AFG,Afghanistan,Health and Population,Water Supply and Sanitation,2017,10431314,33.93911,67.709953,36296400
AFG,Afghanistan,Infrastructure,Energy,2017,10431314,33.93911,67.709953,36296400
AFG,Afghanistan,Agriculture,Agriculture,2017,10201229,33.93911,67.709953,36296400
AFG,Afghanistan,Agriculture,Agriculture,2017,9933528,33.93911,67.709953,36296400
AFG,Afghanistan,Education,Basic Education,2017,9164584,33.93911,67.709953,36296400
AFG,Afghanistan,Agriculture,Agriculture,2017,9020270,33.93911,67.709953,36296400
AFG,Afghanistan,Administrative Costs,Operating Expenses,2017,8671634,33.93911,67.709953,36296400
AFG,Afghanistan,Governance,Government and Civil Society,2017,8631913,33.93911,67.709953,36296400
AFG,Afghanistan,Governance,Government and Civil Society,2017,8569036,33.93911,67.709953,36296400
AFG,Afghanistan,Governance,"Conflict, Peace, and Security",2017,8481538,33.93911,67.709953,36296400
AFG,Afghanistan,Governance,Government and Civil Society,2017,8036083,33.93911,67.709953,36296400
AFG,Afghanistan,Governance,Government and Civil Society,2017,7992550,33.93911,67.709953,36296400
AFG,Afghanistan,Governance,Government and Civil Society,2017,7711111,33.93911,67.709953,36296400
AFG,Afghanistan,Governance,Government and Civil Society,2017,7660553,33.93911,67.709953,36296400
AFG,Afghanistan,Health and Population,"Maternal and Child Health, Family Planning",2017,7603385,33.93911,67.709953,36296400
AFG,Afghanistan,Governance,Government and Civil Society,2017,7436733,33.93911,67.709953,36296400
AFG,Afghanistan,Agriculture,Agriculture,2017,7421513,33.93911,67.709953,36296400
AFG,Afghanistan,Governance,Government and Civil Society,2017,7260195,33.93911,67.709953,36296400
AFG,Afghanistan,Administrative Costs,Operating Expenses,2017,7066816,33.93911,67.709953,36296400
AFG,Afghanistan,Governance,Government and Civil Society,2017,7039889,33.93911,67.709953,36296400
AFG,Afghanistan,Infrastructure,Energy,2017,6993283,33.93911,67.709953,36296400
AFG,Afghanistan,Governance,Government and Civil Society,2017,6718123,33.93911,67.709953,36296400
AFG,Afghanistan,Health and Population,"Maternal and Child Health, Family Planning",2017,6639706,33.93911,67.709953,36296400
AFG,Afghanistan,Health and Population,"Maternal and Child Health, Family Planning",2017,6639706,33.93911,67.709953,36296400
AFG,Afghanistan,Infrastructure,Transport and Storage,2017,6605784,33.93911,67.709953,36296400
AFG,Afghanistan,Governance,"Conflict, Peace, and Security",2017,6527830,33.93911,67.709953,36296400
AFG,Afghanistan,Health and Population,Basic Health,2017,6480152,33.93911,67.709953,36296400
AFG,Afghanistan,Health and Population,Basic Health,2017,6480152,33.93911,67.709953,36296400
AFG,Afghanistan,Education,Basic Education,2017,6333435,33.93911,67.709953,36296400
AFG,Afghanistan,Health and Population,Basic Health,2017,6258789,33.93911,67.709953,36296400
AFG,Afghanistan,Health and Population,Basic Health,2017,6258789,33.93911,67.709953,36296400
AFG,Afghanistan,Health and Population,Basic Health,2017,6258789,33.93911,67.709953,36296400
AFG,Afghanistan,Education,Basic Education,2017,6202276,33.93911,67.709953,36296400
AFG,Afghanistan,Other,Other Multisector,2017,6158648,33.93911,67.709953,36296400
AFG,Afghanistan,Education,Basic Education,2017,6039249,33.93911,67.709953,36296400
AFG,Afghanistan,Education,Basic Education,2017,5996451,33.93911,67.709953,36296400
AFG,Afghanistan,Governance,Government and Civil Society,2017,5927881,33.93911,67.709953,36296400
AFG,Afghanistan,Governance,Government and Civil Society,2017,5695534,33.93911,67.709953,36296400
AFG,Afghanistan,Health and Population,"Maternal and Child Health, Family Planning",2017,5630301,33.93911,67.709953,36296400
AFG,Afghanistan,Health and Population,"Maternal and Child Health, Family Planning",2017,5569375,33.93911,67.709953,36296400
AFG,Afghanistan,Infrastructure,Energy,2017,5551055,33.93911,67.709953,36296400
AFG,Afghanistan,Health and Population,"Maternal and Child Health, Family Planning",2017,5528597,33.93911,67.709953,36296400
AFG,Afghanistan,Agriculture,Agriculture,2017,5443938,33.93911,67.709953,36296400
AFG,Afghanistan,Agriculture,Agriculture,2017,5349728,33.93911,67.709953,36296400
AFG,Afghanistan,Governance,Government and Civil Society,2017,5321476,33.93911,67.709953,36296400
AFG,Afghanistan,Governance,Government and Civil Society,2017,5267814,33.93911,67.709953,36296400
AFG,Afghanistan,Humanitarian,Emergency Response,2017,5215657,33.93911,67.709953,36296400
AFG,Afghanistan,Humanitarian,Emergency Response,2017,5215657,33.93911,67.709953,36296400
AFG,Afghanistan,Health and Population,Basic Health,2017,5215657,33.93911,67.709953,36296400
AFG,Afghanistan,Education,Post-Secondary Education,2017,5215657,33.93911,67.709953,36296400
AFG,Afghanistan,Education,Post-Secondary Education,2017,5215657,33.93911,67.709953,36296400
