country_code,Country Name,dac_category_name,dac_sector_name,fiscal_year,constant_amount,latitude,longitude,2016
AFG,Afghanistan,Governance,Government and Civil Society,2016,360030165,33.93911,67.709953,35383128
AFG,Afghanistan,Governance,Government and Civil Society,2016,250680784,33.93911,67.709953,35383128
AFG,Afghanistan,Infrastructure,Energy,2016,63685284,33.93911,67.709953,35383128
AFG,Afghanistan,Infrastructure,Energy,2016,61374490,33.93911,67.709953,35383128
AFG,Afghanistan,Administrative Costs,Operating Expenses,2016,51816997,33.93911,67.709953,35383128
AFG,Afghanistan,Agriculture,Agriculture,2016,31532170,33.93911,67.709953,35383128
AFG,Afghanistan,Administrative Costs,Operating Expenses,2016,31401111,33.93911,67.709953,35383128
AFG,Afghanistan,Administrative Costs,Operating Expenses,2016,30990687,33.93911,67.709953,35383128
AFG,Afghanistan,Administrative Costs,Administration and Oversight,2016,25455012,33.93911,67.709953,35383128
AFG,Afghanistan,Administrative Costs,Administration and Oversight,2016,25455012,33.93911,67.709953,35383128
AFG,Afghanistan,Infrastructure,Energy,2016,24731938,33.93911,67.709953,35383128
AFG,Afghanistan,Education,Basic Education,2016,24341233,33.93911,67.709953,35383128
AFG,Afghanistan,Education,Basic Education,2016,24341233,33.93911,67.709953,35383128
AFG,Afghanistan,Infrastructure,Transport and Storage,2016,22850756,33.93911,67.709953,35383128
AFG,Afghanistan,Economic Growth,Business and Other Services,2016,21710630,33.93911,67.709953,35383128
AFG,Afghanistan,Agriculture,Agriculture,2016,21468568,33.93911,67.709953,35383128
AFG,Afghanistan,Agriculture,Agriculture,2016,21468568,33.93911,67.709953,35383128
AFG,Afghanistan,Economic Growth,Business and Other Services,2016,21426436,33.93911,67.709953,35383128
AFG,Afghanistan,Education,Basic Education,2016,21232890,33.93911,67.709953,35383128
AFG,Afghanistan,Governance,Government and Civil Society,2016,21232890,33.93911,67.709953,35383128
AFG,Afghanistan,Governance,Government and Civil Society,2016,21232890,33.93911,67.709953,35383128
AFG,Afghanistan,Agriculture,Agriculture,2016,21175746,33.93911,67.709953,35383128
AFG,Afghanistan,Infrastructure,Energy,2016,20252465,33.93911,67.709953,35383128
